,ID_CLIENT,CLERK_TYPE,PAYMENT_DAY,APPLICATION_SUBMISSION_TYPE,QUANT_ADDITIONAL_CARDS,POSTAL_ADDRESS_TYPE,SEX,MARITAL_STATUS,QUANT_DEPENDANTS,EDUCATION_LEVEL,STATE_OF_BIRTH,CITY_OF_BIRTH,NACIONALITY,RESIDENCIAL_STATE,RESIDENCIAL_CITY,RESIDENCIAL_BOROUGH,FLAG_RESIDENCIAL_PHONE,RESIDENCIAL_PHONE_AREA_CODE,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_MOBILE_PHONE,FLAG_EMAIL,PERSONAL_MONTHLY_INCOME,OTHER_INCOMES,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OTHER_CARDS,QUANT_BANKING_ACCOUNTS,QUANT_SPECIAL_BANKING_ACCOUNTS,PERSONAL_ASSETS_VALUE,QUANT_CARS,COMPANY,PROFESSIONAL_STATE,PROFESSIONAL_CITY,PROFESSIONAL_BOROUGH,FLAG_PROFESSIONAL_PHONE,PROFESSIONAL_PHONE_AREA_CODE,MONTHS_IN_THE_JOB,PROFESSION_CODE,OCCUPATION_TYPE,MATE_PROFESSION_CODE,EDUCATION_LEVEL,FLAG_HOME_ADDRESS_DOCUMENT,FLAG_RG,FLAG_CPF,FLAG_INCOME_PROOF,PRODUCT,FLAG_ACSP_RECORD,AGE,RESIDENCIAL_ZIP_3,PROFESSIONAL_ZIP_3
0,70001,C,10,Web,,1,F,1,0,5,SP,brasileira,1,SP,sao paulo,mooca,Y,5,1.0,29.0,N,0,1118.93,0.0,1,0,0,0,0,1,1,0.0,1,Y,SP,sao paulo,mooca,Y,5,0,9,2.0,,,0,0,0,0,2,N,29,318,318
1,70002,C,10,Web,,1,F,1,0,3,SP,FLORA RICA,1,SP,BARRA BONITA,JD NOVA BARRA,Y,12,1.0,8.0,Y,0,600.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9,4.0,,2.0,0,0,0,0,2,N,41,173,173
2,70003,C,25,Web,,1,F,2,0,4,SP,A PIQUIRI,1,SP,Guarulhos,Cidade Soberana,Y,5,1.0,5.0,Y,0,800.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,SP,Guarulhos,Jardim Santa Vicencia,Y,5,0,9,2.0,,,0,0,0,0,1,N,38,716,716
3,70004,C,5,Web,,1,F,1,0,3,PR,MANDAGUARI,1,PR,MANDAGUARI,JARDIM ESPLANDADA,Y,44,1.0,10.0,Y,0,549.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9,2.0,,,0,0,0,0,1,N,45,869,869
4,70005,C,20,Web,,1,F,1,0,4,RJ,RIO DE JANEIRO,1,RJ,SAQUAREMA,BARREIRA,Y,22,1.0,21.0,N,0,440.0,460.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,7,,,,0,0,0,0,1,N,49,289,289
5,70006,C,10,Web,,1,F,2,0,4,GO,LUZIANIA,1,GO,Luziania,Setor Norte Maravilha,Y,66,,,Y,0,416.76,0.0,1,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9,,,,0,0,0,0,1,Y,33,728,728
6,70007,C,20,Web,,1,F,1,0,4,BA,SALVADOR,1,BA,SALVADOR,FAZ GRANDE DO RETIRO,Y,81,1.0,34.0,N,0,573.0,0.0,1,1,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9,4.0,,,0,0,0,0,1,N,34,403,403
7,70008,C,1,Web,,1,M,2,0,2,SP,MATAO,1,SP,Maua,Jardim Zaira,Y,5,1.0,6.0,Y,0,1750.45,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9,5.0,,,0,0,0,0,1,Y,63,932,932
8,70009,C,10,Web,,1,M,1,0,3,MS,ELDORADO,1,MS,SIDROLANDIA,SAO BENTO,N, ,1.0,1.0,N,0,512.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9,,,,0,0,0,0,1,N,32,791,791
9,70010,C,5,Web,,1,F,1,0,4,AL,PENEDO,1,AL,PENEDO,SENHOR DO BONFIM,Y,100,1.0,1.0,N,0,390.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,Y,100,0,11,5.0,11.0,,0,0,0,0,1,N,21,572,572
